epoch;accuracy;loss;val_accuracy;val_loss
0;0.53047556;1.9109774824763335;0.51875;1.4333331346511842
1;0.97052914;0.15611537770484807;0.9125;0.2956201761960983
2;1.0;0.022655313919383812;1.0;0.02962999199517071
3;1.0;0.008741585978188932;1.0;0.007666427060030401
4;1.0;0.005172539523903129;1.0;0.004997253511101007
5;1.0;0.003928003699830013;1.0;0.0050720775150693955
6;1.0;0.003066107395715757;1.0;0.005741020012646913
7;1.0;0.00241073168959526;1.0;0.005369100341340527
8;1.0;0.0020799475716712667;1.0;0.004158445581560954
9;1.0;0.0017075858274456027;1.0;0.0049330458976328375
10;1.0;0.001439620303510946;0.99375;0.006240779627114534
11;1.0;0.0012549967721026023;0.99375;0.006609611096791923
12;1.0;0.001107990041210479;0.99375;0.007193165126955137
13;1.0;0.0010414401310457357;0.99375;0.0073213687544921415
14;1.0;0.0008454184968050068;0.99375;0.006622286545461975
15;1.0;0.0008016256733260405;0.99375;0.0067728951398748904
16;1.0;0.000731229821949254;0.99375;0.006890581542393193
17;1.0;0.0007020007234989314;0.99375;0.008238956160494127
18;1.0;0.0006252640708738268;0.99375;0.008002238319022581
19;1.0;0.0005605585037010778;0.99375;0.00826205685880268
20;1.0;0.0005294489395616457;0.99375;0.009422156488290057
21;1.0;0.0004680277480277852;0.99375;0.010563711458235047
22;1.0;0.00045654055916960614;0.99375;0.009790612352662719
23;1.0;0.00042368719472870485;0.99375;0.009411581291351468
24;1.0;0.00039300892170445655;0.99375;0.009130546156666242
25;1.0;0.00036134749532200654;0.99375;0.008798187191132456
26;1.0;0.00032480101166052866;0.99375;0.009194148005917668
27;1.0;0.000319348405203729;0.99375;0.008969386096578092
28;1.0;0.00030770849722140637;0.99375;0.009543460039276397
29;1.0;0.0002777285808820542;0.99375;0.009854722722229781
30;1.0;0.0002711310931280248;0.99375;0.010533485375344754
31;1.0;0.0002520203244422013;0.99375;0.009778645619371673
32;1.0;0.00024002886111617252;0.99375;0.009925358160398901
33;1.0;0.00022265629829465843;0.99375;0.010360058285004924
34;1.0;0.00021953759533281414;0.99375;0.009998771280515939
